Fri Dec  3 12:40:36 2021 Fold 2, Epoch 12, lr: 0.0001090, train loss: 0.16805, valid loss: 0.19275, acc: 94.6148, auc: 0.907282, auc_20: 0.907282.
Fri Dec  3 12:46:59 2021 Fold 2, Epoch 13, lr: 0.0000831, train loss: 0.16186, valid loss: 0.19323, acc: 94.5690, auc: 0.909409, auc_20: 0.909409.
Fri Dec  3 12:53:22 2021 Fold 2, Epoch 14, lr: 0.0000596, train loss: 0.15492, valid loss: 0.19313, acc: 94.6911, auc: 0.909957, auc_20: 0.909957.
Fri Dec  3 12:59:45 2021 Fold 2, Epoch 15, lr: 0.0000391, train loss: 0.15123, valid loss: 0.19703, acc: 94.3707, auc: 0.909691, auc_20: 0.909691.
Fri Dec  3 13:06:08 2021 Fold 2, Epoch 16, lr: 0.0000225, train loss: 0.14358, valid loss: 0.19982, acc: 94.6148, auc: 0.909010, auc_20: 0.909010.
Fri Dec  3 13:12:31 2021 Fold 2, Epoch 17, lr: 0.0000101, train loss: 0.14044, valid loss: 0.20007, acc: 94.5385, auc: 0.908428, auc_20: 0.908428.
Fri Dec  3 13:18:54 2021 Fold 2, Epoch 18, lr: 0.0000026, train loss: 0.13858, valid loss: 0.20247, acc: 94.5385, auc: 0.906462, auc_20: 0.906462.
Fri Dec  3 13:25:17 2021 Fold 3, Epoch 1, lr: 0.0000300, train loss: 0.56250, valid loss: 0.26530, acc: 93.7873, auc: 0.804601, auc_20: 0.804601.
Fri Dec  3 13:31:41 2021 Fold 3, Epoch 2, lr: 0.0003000, train loss: 0.29195, valid loss: 0.24652, acc: 93.2517, auc: 0.841112, auc_20: 0.841112.
Fri Dec  3 13:38:04 2021 Fold 3, Epoch 3, lr: 0.0002974, train loss: 0.24978, valid loss: 0.20437, acc: 94.7666, auc: 0.860889, auc_20: 0.860889.
Fri Dec  3 13:44:27 2021 Fold 3, Epoch 4, lr: 0.0002899, train loss: 0.23516, valid loss: 0.19698, acc: 94.4912, auc: 0.889045, auc_20: 0.889045.
Fri Dec  3 13:50:51 2021 Fold 3, Epoch 5, lr: 0.0002775, train loss: 0.22311, valid loss: 0.20200, acc: 94.5983, auc: 0.877529, auc_20: 0.877529.
Fri Dec  3 13:57:14 2021 Fold 3, Epoch 6, lr: 0.0002609, train loss: 0.21478, valid loss: 0.19557, acc: 94.3382, auc: 0.895503, auc_20: 0.895503.
Fri Dec  3 14:03:39 2021 Fold 3, Epoch 7, lr: 0.0002404, train loss: 0.20645, valid loss: 0.18801, acc: 94.6901, auc: 0.905083, auc_20: 0.905083.
Fri Dec  3 14:10:03 2021 Fold 3, Epoch 8, lr: 0.0002169, train loss: 0.20021, valid loss: 0.18699, acc: 94.9656, auc: 0.898331, auc_20: 0.898331.
Fri Dec  3 14:16:28 2021 Fold 3, Epoch 9, lr: 0.0001910, train loss: 0.19417, valid loss: 0.19225, acc: 94.4300, auc: 0.899845, auc_20: 0.899845.
Fri Dec  3 14:22:52 2021 Fold 3, Epoch 10, lr: 0.0001638, train loss: 0.18863, valid loss: 0.17832, acc: 94.6901, auc: 0.915851, auc_20: 0.915851.
Fri Dec  3 14:29:17 2021 Fold 3, Epoch 11, lr: 0.0001362, train loss: 0.17861, valid loss: 0.18483, acc: 94.8125, auc: 0.911889, auc_20: 0.911889.
Fri Dec  3 14:35:40 2021 Fold 3, Epoch 12, lr: 0.0001090, train loss: 0.17286, valid loss: 0.17878, acc: 94.7819, auc: 0.915220, auc_20: 0.915220.
Fri Dec  3 14:42:02 2021 Fold 3, Epoch 13, lr: 0.0000831, train loss: 0.16580, valid loss: 0.18733, acc: 94.6595, auc: 0.908656, auc_20: 0.908656.
Fri Dec  3 14:48:25 2021 Fold 3, Epoch 14, lr: 0.0000596, train loss: 0.15927, valid loss: 0.19097, acc: 94.5830, auc: 0.913450, auc_20: 0.913450.
Fri Dec  3 14:54:47 2021 Fold 3, Epoch 15, lr: 0.0000391, train loss: 0.15144, valid loss: 0.19411, acc: 94.4759, auc: 0.904331, auc_20: 0.904331.
Fri Dec  3 15:01:09 2021 Fold 3, Epoch 16, lr: 0.0000225, train loss: 0.14856, valid loss: 0.20367, acc: 94.4759, auc: 0.895332, auc_20: 0.895332.
Fri Dec  3 15:07:31 2021 Fold 3, Epoch 17, lr: 0.0000101, train loss: 0.14548, valid loss: 0.20054, acc: 94.6136, auc: 0.904372, auc_20: 0.904372.
Fri Dec  3 15:13:54 2021 Fold 3, Epoch 18, lr: 0.0000026, train loss: 0.14475, valid loss: 0.20087, acc: 94.6136, auc: 0.900017, auc_20: 0.900017.
Fri Dec  3 15:20:17 2021 Fold 4, Epoch 1, lr: 0.0000300, train loss: 0.54719, valid loss: 0.25995, acc: 93.5919, auc: 0.830345, auc_20: 0.830345.
Fri Dec  3 15:26:40 2021 Fold 4, Epoch 2, lr: 0.0003000, train loss: 0.28482, valid loss: 0.21874, acc: 94.3278, auc: 0.867725, auc_20: 0.867725.
Fri Dec  3 15:33:03 2021 Fold 4, Epoch 3, lr: 0.0002974, train loss: 0.25146, valid loss: 0.20170, acc: 94.3431, auc: 0.883820, auc_20: 0.883820.
Fri Dec  3 15:39:26 2021 Fold 4, Epoch 4, lr: 0.0002899, train loss: 0.23219, valid loss: 0.20214, acc: 94.2818, auc: 0.887930, auc_20: 0.887930.
Fri Dec  3 15:45:49 2021 Fold 4, Epoch 5, lr: 0.0002775, train loss: 0.22103, valid loss: 0.20491, acc: 94.1131, auc: 0.879489, auc_20: 0.879489.
Fri Dec  3 15:52:11 2021 Fold 4, Epoch 6, lr: 0.0002609, train loss: 0.21527, valid loss: 0.19780, acc: 94.2818, auc: 0.894320, auc_20: 0.894320.
Fri Dec  3 15:58:35 2021 Fold 4, Epoch 7, lr: 0.0002404, train loss: 0.21085, valid loss: 0.20261, acc: 93.9752, auc: 0.885567, auc_20: 0.885567.
Fri Dec  3 16:04:57 2021 Fold 4, Epoch 8, lr: 0.0002169, train loss: 0.20085, valid loss: 0.18530, acc: 94.4811, auc: 0.903457, auc_20: 0.903457.
Fri Dec  3 16:11:22 2021 Fold 4, Epoch 9, lr: 0.0001910, train loss: 0.19751, valid loss: 0.17892, acc: 94.5577, auc: 0.904906, auc_20: 0.904906.
Fri Dec  3 16:17:45 2021 Fold 4, Epoch 10, lr: 0.0001638, train loss: 0.18754, valid loss: 0.18740, acc: 94.3738, auc: 0.897033, auc_20: 0.897033.
Fri Dec  3 16:24:09 2021 Fold 4, Epoch 11, lr: 0.0001362, train loss: 0.18104, valid loss: 0.18514, acc: 94.5884, auc: 0.895062, auc_20: 0.895062.
Fri Dec  3 16:30:34 2021 Fold 4, Epoch 12, lr: 0.0001090, train loss: 0.17246, valid loss: 0.18873, acc: 94.1898, auc: 0.914341, auc_20: 0.914341.
Fri Dec  3 16:36:58 2021 Fold 4, Epoch 13, lr: 0.0000831, train loss: 0.16709, valid loss: 0.18275, acc: 94.2358, auc: 0.919135, auc_20: 0.919135.
Fri Dec  3 16:43:23 2021 Fold 4, Epoch 14, lr: 0.0000596, train loss: 0.16107, valid loss: 0.18492, acc: 94.4504, auc: 0.916422, auc_20: 0.916422.
Fri Dec  3 16:49:47 2021 Fold 4, Epoch 15, lr: 0.0000391, train loss: 0.15326, valid loss: 0.18357, acc: 94.6804, auc: 0.920505, auc_20: 0.920505.
Fri Dec  3 16:56:11 2021 Fold 4, Epoch 16, lr: 0.0000225, train loss: 0.14860, valid loss: 0.18383, acc: 94.6190, auc: 0.923440, auc_20: 0.923440.
Fri Dec  3 17:02:36 2021 Fold 4, Epoch 17, lr: 0.0000101, train loss: 0.14620, valid loss: 0.18832, acc: 94.4964, auc: 0.922161, auc_20: 0.922161.
Fri Dec  3 17:09:01 2021 Fold 4, Epoch 18, lr: 0.0000026, train loss: 0.14436, valid loss: 0.18915, acc: 94.4197, auc: 0.918371, auc_20: 0.918371.
