Wed Dec  1 10:13:05 2021 Fold 2, Epoch 13, lr: 0.0000831, train loss: 0.15652, valid loss: 0.19653, acc: 94.4622, auc: 0.898137, auc_20: 0.898137.
Wed Dec  1 10:19:05 2021 Fold 2, Epoch 14, lr: 0.0000596, train loss: 0.15139, valid loss: 0.19829, acc: 94.4012, auc: 0.906438, auc_20: 0.906438.
Wed Dec  1 10:25:04 2021 Fold 2, Epoch 15, lr: 0.0000391, train loss: 0.13977, valid loss: 0.20994, acc: 94.2334, auc: 0.897409, auc_20: 0.897409.
Wed Dec  1 10:31:04 2021 Fold 2, Epoch 16, lr: 0.0000225, train loss: 0.13584, valid loss: 0.20998, acc: 94.1724, auc: 0.892994, auc_20: 0.892994.
Wed Dec  1 10:37:04 2021 Fold 2, Epoch 17, lr: 0.0000101, train loss: 0.13511, valid loss: 0.20842, acc: 94.3707, auc: 0.892082, auc_20: 0.892082.
Wed Dec  1 10:43:02 2021 Fold 2, Epoch 18, lr: 0.0000026, train loss: 0.13031, valid loss: 0.20891, acc: 94.3402, auc: 0.892209, auc_20: 0.892209.
Wed Dec  1 10:48:55 2021 Fold 3, Epoch 1, lr: 0.0000300, train loss: 0.70789, valid loss: 0.29203, acc: 93.8332, auc: 0.753485, auc_20: 0.753485.
Wed Dec  1 10:54:53 2021 Fold 3, Epoch 2, lr: 0.0003000, train loss: 0.28468, valid loss: 0.21604, acc: 94.4759, auc: 0.826171, auc_20: 0.826171.
Wed Dec  1 11:00:53 2021 Fold 3, Epoch 3, lr: 0.0002974, train loss: 0.24201, valid loss: 0.20820, acc: 94.5065, auc: 0.874852, auc_20: 0.874852.
Wed Dec  1 11:06:52 2021 Fold 3, Epoch 4, lr: 0.0002899, train loss: 0.22543, valid loss: 0.19899, acc: 94.6748, auc: 0.876237, auc_20: 0.876237.
Wed Dec  1 11:12:46 2021 Fold 3, Epoch 5, lr: 0.0002775, train loss: 0.21594, valid loss: 0.18944, acc: 94.8585, auc: 0.912653, auc_20: 0.912653.
Wed Dec  1 11:18:43 2021 Fold 3, Epoch 6, lr: 0.0002609, train loss: 0.20684, valid loss: 0.19194, acc: 94.7819, auc: 0.906154, auc_20: 0.906154.
Wed Dec  1 11:24:42 2021 Fold 3, Epoch 7, lr: 0.0002404, train loss: 0.19769, valid loss: 0.18645, acc: 94.7513, auc: 0.910429, auc_20: 0.910429.
